[2024-09-17 00:00:07:1159071][http-nio-8080-exec-3] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/js/chat-list.js', status code: 200, estimated time: 2ms, used memory: 364000 bytes
[2024-09-17 00:00:07:1159072][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/js/jquery-3.3.1.min.js', status code: 200, estimated time: 2ms, used memory: 369112 bytes
[2024-09-17 00:00:07:1159072][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/js/bootstrap.min.js', status code: 200, estimated time: 1ms, used memory: 253088 bytes
[2024-09-17 00:00:07:1159139][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/js/api.js'
[2024-09-17 00:00:07:1159141][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/js/api.js', status code: 200, estimated time: 2ms, used memory: 0 bytes
[2024-09-17 00:00:07:1159149][http-nio-8080-exec-7] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/products'
[2024-09-17 00:00:07:1159149][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/chatrooms'
[2024-09-17 00:00:07:1159154][http-nio-8080-exec-4] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getAllProductBySellerId' task with parameters: sellerId: 2
[2024-09-17 00:00:07:1159154][http-nio-8080-exec-7] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getAllProductBySellerId' task with parameters: sellerId: 2
[2024-09-17 00:00:07:1159160][http-nio-8080-exec-4] INFO  p6spy - took 2 ms | select product0_.id as id1_4_, product0_.createdAt as createda2_4_, product0_.modifiedAt as modified3_4_, product0_.content as content4_4_, product0_.name as name5_4_, product0_.price as price6_4_, product0_.seller_id as seller_i8_4_, product0_.title as title7_4_ from Product product0_ left outer join Member member1_ on product0_.seller_id=member1_.id where member1_.id=2
[2024-09-17 00:00:07:1159160][http-nio-8080-exec-7] INFO  p6spy - took 2 ms | select product0_.id as id1_4_, product0_.createdAt as createda2_4_, product0_.modifiedAt as modified3_4_, product0_.content as content4_4_, product0_.name as name5_4_, product0_.price as price6_4_, product0_.seller_id as seller_i8_4_, product0_.title as title7_4_ from Product product0_ left outer join Member member1_ on product0_.seller_id=member1_.id where member1_.id=2
[2024-09-17 00:00:07:1159160][http-nio-8080-exec-7] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getAllProductBySellerId' task was executed successfully by ProductServiceImpl: 'getAllProductBySellerId', estimated time: 6 ms, used memory: 0 bytes
[2024-09-17 00:00:07:1159160][http-nio-8080-exec-4] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getAllProductBySellerId' task was executed successfully by ProductServiceImpl: 'getAllProductBySellerId', estimated time: 6 ms, used memory: 0 bytes
[2024-09-17 00:00:07:1159161][http-nio-8080-exec-7] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/products', status code: 200, estimated time: 11ms, used memory: 514136 bytes
[2024-09-17 00:00:07:1159164][http-nio-8080-exec-4] INFO  p6spy - took 2 ms | select chat0_.product_id as col_0_0_, chat0_.message as col_1_0_, chat0_.sendDate as col_2_0_, chat0_.owner_id as col_3_0_, product1_.seller_id as col_4_0_ from Chat chat0_ inner join Product product1_ on (chat0_.product_id=product1_.id) inner join Member member3_ on product1_.seller_id=member3_.id inner join Member member2_ on chat0_.owner_id=member2_.id where chat0_.delete_yn=0 and chat0_.owner_id=2 and chat0_.sendDate=(select max(chat4_.sendDate) from Chat chat4_ where chat4_.product_id=chat0_.product_id and chat4_.owner_id=2 and chat4_.delete_yn=0)
